73.72,8.664880216121674,0.6261329305135952,0.9115913555992141,0.5218680504077094,0.7810055865921788,0.6151385927505331,0.7488584474885844,0.4981549815498155,0.8084507042253521,0.8988877654196158,0.8806818181818182,0.829,0.928,0.704,0.699,0.577,0.82,0.135,0.861,0.889,0.93
77.04,6.742919325828552,0.7190605239385727,0.9490835030549898,0.605595667870036,0.7760891590678825,0.5637181409295352,0.8513379583746283,0.521505376344086,0.8181818181818182,0.9079333986287953,0.9255102040816326,0.796,0.932,0.671,0.766,0.752,0.859,0.194,0.9,0.927,0.907
79.28,6.0304760336875916,0.6825525040387722,0.9601634320735445,0.6400367309458218,0.8164754953076121,0.6522911051212938,0.8981670061099797,0.5422794117647058,0.8479087452471483,0.9083895853423336,0.9195630585898709,0.845,0.94,0.697,0.783,0.726,0.882,0.295,0.892,0.942,0.926
79.78,5.6978219747543335,0.7078364565587735,0.9632277834525026,0.735399284862932,0.7992164544564153,0.5751329787234043,0.9286474973375932,0.5966183574879227,0.8506616257088847,0.9109195402298851,0.9105058365758755,0.831,0.943,0.617,0.816,0.865,0.872,0.247,0.9,0.951,0.936
81.8,5.253909945487976,0.7554502369668247,0.9751809720785936,0.7140019860973188,0.779491833030853,0.6578512396694215,0.9152542372881356,0.6026711185308848,0.8736942070275404,0.9220272904483431,0.941717791411043,0.797,0.943,0.719,0.859,0.796,0.918,0.361,0.92,0.946,0.921
82.63,4.988117098808289,0.7391304347826086,0.9733606557377049,0.6922374429223744,0.8383838383838383,0.7149712092130518,0.9118217054263565,0.5904109589041096,0.8987975951903807,0.9338598223099703,0.9348044132397192,0.833,0.95,0.758,0.83,0.745,0.941,0.431,0.897,0.946,0.932
82.96,4.838387131690979,0.7477396021699819,0.9675456389452333,0.7930622009569378,0.8393574297188755,0.7045658012533572,0.9251231527093596,0.5416216216216216,0.908080808080808,0.9338598223099703,0.9291338582677166,0.827,0.954,0.663,0.836,0.787,0.939,0.501,0.899,0.946,0.944
83.19,4.717950463294983,0.7196581196581197,0.9744637385086823,0.7985781990521327,0.8518896833503575,0.6938083121289228,0.9542143600416233,0.5671267252195734,0.8855250709555346,0.9185043144774688,0.9424823410696267,0.842,0.954,0.674,0.834,0.818,0.917,0.452,0.936,0.958,0.934
83.75,4.60418975353241,0.7217021276595744,0.9705882352941176,0.7806451612903226,0.8415841584158416,0.7163120567375887,0.9408224674022067,0.6133333333333333,0.9282700421940928,0.9404761904761905,0.898876404494382,0.848,0.957,0.726,0.85,0.808,0.938,0.46,0.88,0.948,0.96
83.98,4.454164236783981,0.7538742023701003,0.9734964322120285,0.6921768707482994,0.8255481410867492,0.7557172557172557,0.9517948717948718,0.6421499292786421,0.9068627450980392,0.9387956564659428,0.9323529411764706,0.827,0.955,0.814,0.866,0.727,0.928,0.454,0.925,0.951,0.951
84.6,4.384293377399445,0.7724268177525968,0.9734964322120285,0.7719475277497477,0.8333333333333334,0.7365945437441204,0.9457286432160804,0.6137440758293838,0.9105211406096362,0.9378698224852071,0.9392430278884463,0.818,0.955,0.765,0.86,0.783,0.941,0.518,0.926,0.951,0.943
84.69,4.383156508207321,0.7768281101614435,0.9734964322120285,0.771399798590131,0.8351115421920465,0.7391713747645952,0.9401197604790419,0.6174734356552538,0.9120553359683794,0.937992125984252,0.9401794616151545,0.818,0.955,0.766,0.861,0.785,0.942,0.523,0.923,0.953,0.943
84.74,4.361952364444733,0.7731568998109641,0.9735234215885947,0.7769857433808554,0.8367346938775511,0.7351301115241635,0.9430569430569431,0.6176821983273596,0.9115913555992141,0.93713163064833,0.9429429429429429,0.818,0.956,0.763,0.861,0.791,0.944,0.517,0.928,0.954,0.942
84.7,4.358658015727997,0.7636195752539243,0.9745158002038736,0.7711693548387096,0.841642228739003,0.7409867172675522,0.9411764705882353,0.6182472989195679,0.9105211406096362,0.937992125984252,0.9438877755511023,0.827,0.956,0.765,0.861,0.781,0.944,0.515,0.926,0.953,0.942
84.82,4.355758100748062,0.7790476190476191,0.9735234215885947,0.7748478701825557,0.841796875,0.7512242899118511,0.942057942057942,0.6077777777777778,0.9090019569471625,0.9371933267909716,0.9457286432160804,0.818,0.956,0.764,0.862,0.767,0.943,0.547,0.929,0.955,0.941
84.75,4.3361915946006775,0.774102079395085,0.9745158002038736,0.7626112759643917,0.8394941634241245,0.7478176527643065,0.942173479561316,0.6156542056074766,0.9133004926108375,0.9380530973451328,0.942,0.819,0.956,0.771,0.863,0.771,0.945,0.527,0.927,0.954,0.942
84.83,4.317452162504196,0.7832369942196532,0.9734964322120285,0.7715430861723447,0.8307839388145315,0.7466019417475728,0.9431137724550899,0.6169724770642202,0.9107843137254902,0.9380530973451328,0.9447791164658634,0.813,0.955,0.77,0.869,0.769,0.945,0.538,0.929,0.954,0.941
84.85,4.313241869211197,0.7848837209302325,0.9745158002038736,0.7753036437246964,0.8336538461538462,0.7411652340019103,0.9431137724550899,0.6138952164009112,0.9152709359605912,0.937992125984252,0.9430569430569431,0.81,0.956,0.766,0.867,0.776,0.945,0.539,0.929,0.953,0.944
84.84,4.312217444181442,0.7761904761904762,0.9735503560528993,0.7694610778443114,0.8336538461538462,0.7440076701821668,0.9431137724550899,0.6202830188679245,0.9153543307086615,0.937992125984252,0.944,0.815,0.957,0.771,0.867,0.776,0.945,0.526,0.93,0.953,0.944
84.88,4.299475610256195,0.7791586998087954,0.9745676500508647,0.7763157894736842,0.834942084942085,0.7414448669201521,0.9431137724550899,0.6202090592334495,0.9100684261974584,0.937992125984252,0.94662638469285,0.815,0.958,0.767,0.865,0.78,0.945,0.534,0.931,0.953,0.94
84.93,4.299278676509857,0.7770398481973435,0.9745934959349594,0.7720883534136547,0.8406219630709426,0.7438095238095238,0.9431137724550899,0.6220657276995305,0.910871694417238,0.9380530973451328,0.9457286432160804,0.819,0.959,0.769,0.865,0.781,0.945,0.53,0.93,0.954,0.941
84.91,4.305452227592468,0.776303317535545,0.9745676500508647,0.7720883534136547,0.8398058252427184,0.7435653002859867,0.9431137724550899,0.6208920187793427,0.9117647058823529,0.9380530973451328,0.9457831325301205,0.819,0.958,0.769,0.865,0.78,0.945,0.529,0.93,0.954,0.942
84.86,4.302989512681961,0.7775665399239544,0.9745934959349594,0.7692307692307693,0.8394941634241245,0.7440076701821668,0.9431137724550899,0.6188811188811189,0.9100684261974584,0.937992125984252,0.94662638469285,0.818,0.959,0.77,0.863,0.776,0.945,0.531,0.931,0.953,0.94
84.86,4.298722147941589,0.778414517669532,0.9736040609137055,0.7684630738522954,0.8363988383349468,0.7454370797310279,0.9431137724550899,0.62004662004662,0.9126594700686947,0.937992125984252,0.9448345035105316,0.815,0.959,0.77,0.864,0.776,0.945,0.532,0.93,0.953,0.942
84.88,4.301740378141403,0.7773549000951475,0.9745676500508647,0.7730923694779116,0.8383349467570184,0.744721689059501,0.9431137724550899,0.6178861788617886,0.9100684261974584,0.937992125984252,0.94662638469285,0.817,0.958,0.77,0.866,0.776,0.945,0.532,0.931,0.953,0.94
84.86,4.303697049617767,0.7764034253092293,0.9735772357723578,0.77,0.8383349467570184,0.7449470644850819,0.9431137724550899,0.6181606519208381,0.9118511263467189,0.937992125984252,0.9467336683417086,0.816,0.958,0.77,0.866,0.774,0.945,0.531,0.931,0.953,0.942
84.88,4.301935315132141,0.7799043062200957,0.9736040609137055,0.7671641791044777,0.8372093023255814,0.7478176527643065,0.9431137724550899,0.6193771626297578,0.9117647058823529,0.9380530973451328,0.9457831325301205,0.815,0.959,0.771,0.864,0.771,0.945,0.537,0.93,0.954,0.942
84.9,4.29535984992981,0.776303317535545,0.9745676500508647,0.7715430861723447,0.8398058252427184,0.7444976076555024,0.9431137724550899,0.6194379391100703,0.9117647058823529,0.9380530973451328,0.9457831325301205,0.819,0.958,0.77,0.865,0.778,0.945,0.529,0.93,0.954,0.942
84.9,4.294060528278351,0.776303317535545,0.9745676500508647,0.7692307692307693,0.8396501457725948,0.7452107279693486,0.9431137724550899,0.6201641266119577,0.9144542772861357,0.9380530973451328,0.943943943943944,0.819,0.958,0.77,0.864,0.778,0.945,0.529,0.93,0.954,0.943
84.93,4.294469445943832,0.7785171102661597,0.9745676500508647,0.7723169508525577,0.8398058252427184,0.7444976076555024,0.9431137724550899,0.62004662004662,0.9126594700686947,0.9380530973451328,0.9448345035105316,0.819,0.958,0.77,0.865,0.778,0.945,0.532,0.93,0.954,0.942
84.95,4.292387455701828,0.7777777777777778,0.9745676500508647,0.7744209466263847,0.8398058252427184,0.7428571428571429,0.9431137724550899,0.6214953271028038,0.9144542772861357,0.9380530973451328,0.943943943943944,0.819,0.958,0.769,0.865,0.78,0.945,0.532,0.93,0.954,0.943
84.9,4.298269629478455,0.7780952380952381,0.9745676500508647,0.7723169508525577,0.8381782945736435,0.7440076701821668,0.9431137724550899,0.6186046511627907,0.9135559921414538,0.9380530973451328,0.9448897795591182,0.817,0.958,0.77,0.865,0.776,0.945,0.532,0.93,0.954,0.943
84.94,4.295193523168564,0.7770398481973435,0.9745676500508647,0.7707707707707707,0.8398058252427184,0.7449856733524355,0.9431137724550899,0.6220657276995305,0.9144542772861357,0.9380530973451328,0.943943943943944,0.819,0.958,0.77,0.865,0.78,0.945,0.53,0.93,0.954,0.943
84.93,4.298966944217682,0.7790476190476191,0.9745676500508647,0.7752016129032258,0.8399612027158099,0.7459095283926853,0.942173479561316,0.618828932261768,0.9099804305283757,0.937992125984252,0.94662638469285,0.818,0.958,0.769,0.866,0.775,0.945,0.539,0.93,0.953,0.94
84.91,4.2910440266132355,0.7768281101614435,0.9735772357723578,0.7715430861723447,0.8389912706110573,0.7444976076555024,0.9431137724550899,0.6206088992974239,0.9144542772861357,0.9380530973451328,0.943943943943944,0.818,0.958,0.77,0.865,0.778,0.945,0.53,0.93,0.954,0.943
84.95,4.289384335279465,0.7777777777777778,0.9745676500508647,0.7707707707707707,0.8398058252427184,0.7449856733524355,0.9431137724550899,0.6225087924970691,0.9144542772861357,0.9380530973451328,0.943943943943944,0.819,0.958,0.77,0.865,0.78,0.945,0.531,0.93,0.954,0.943
84.88,4.2881709933280945,0.7786259541984732,0.9745676500508647,0.7715430861723447,0.8365570599613152,0.7440076701821668,0.9431137724550899,0.619324796274738,0.9126594700686947,0.9380530973451328,0.9448345035105316,0.816,0.958,0.77,0.865,0.776,0.945,0.532,0.93,0.954,0.942
84.95,4.290190011262894,0.776303317535545,0.9736040609137055,0.7704590818363274,0.8406219630709426,0.7440305635148042,0.9431137724550899,0.6245572609208973,0.9144542772861357,0.9380530973451328,0.943943943943944,0.819,0.959,0.772,0.865,0.779,0.945,0.529,0.93,0.954,0.943
84.9,4.294421762228012,0.7775665399239544,0.9745676500508647,0.7723169508525577,0.8389912706110573,0.7440076701821668,0.9431137724550899,0.6181606519208381,0.9135559921414538,0.9380530973451328,0.9448897795591182,0.818,0.958,0.77,0.865,0.776,0.945,0.531,0.93,0.954,0.943
