73.41,7.149931609630585,0.7189716312056738,0.9665271966527197,0.7517084282460137,0.7588516746411483,0.7686274509803922,0.8797399783315276,0.3166751657317695,0.7858985382631126,0.9508379888268157,0.9112244897959184,0.811,0.924,0.33,0.793,0.392,0.812,0.621,0.914,0.851,0.893
78.97,5.830792427062988,0.6953696181965882,0.9672131147540983,0.5301804604853765,0.8080313418217434,0.763768115942029,0.9107692307692308,0.6112359550561798,0.8964059196617337,0.9253731343283582,0.865036231884058,0.856,0.944,0.852,0.825,0.527,0.888,0.272,0.848,0.93,0.955
82.52,5.109140306711197,0.7552703941338221,0.9752832131822863,0.7225490196078431,0.8373737373737373,0.736,0.8991270611057226,0.5570175438596491,0.884313725490196,0.9403437815975733,0.9344262295081968,0.824,0.947,0.737,0.829,0.736,0.927,0.508,0.902,0.93,0.912
82.79,4.858527839183807,0.7441048034934498,0.9647177419354839,0.7684887459807074,0.8020541549953315,0.6434583014537107,0.9147894221351616,0.6537037037037037,0.8955665024630541,0.9444444444444444,0.9350912778904665,0.852,0.957,0.717,0.859,0.841,0.934,0.353,0.909,0.935,0.922
